Date,Open,High,Low,Close,Adj Close,Volume
1980-08-22,5.550416,5.637142,5.550416,5.637142,1.183373,653700
1980-08-25,5.593779,5.593779,5.550416,5.550416,1.165167,131400
1980-08-26,5.550416,5.550416,5.492599,5.507054,1.156065,528300
1980-08-27,5.478145,5.478145,5.376966,5.376966,1.128756,294000
1980-08-28,5.376966,5.434783,5.319149,5.376966,1.128756,173800
1980-08-29,5.376966,5.405874,5.290240,5.319149,1.116619,87300
1980-09-02,5.319149,5.348057,5.246878,5.319149,1.116619,179000
1980-09-03,5.319149,5.420329,5.319149,5.420329,1.137859,178100
1980-09-04,5.463691,5.521508,5.463691,5.507054,1.156065,329400
1980-09-05,5.507054,5.535962,5.405874,5.405874,1.134825,186700
1980-09-08,5.405874,5.434783,5.304695,5.304695,1.113584,171200
1980-09-09,5.275786,5.275786,5.160152,5.189061,1.089310,528300
1980-09-10,5.275786,5.478145,5.275786,5.434783,1.140892,457400
1980-09-11,5.434783,5.492599,5.434783,5.492599,1.153030,134000
1980-09-12,5.492599,5.507054,5.463691,5.492599,1.153030,314700
1980-09-15,5.492599,5.564870,5.463691,5.550416,1.165167,302600
1980-09-16,5.579325,5.781683,5.579325,5.738321,1.204614,524900
1980-09-17,5.781683,5.897317,5.781683,5.897317,1.237990,452200
1980-09-18,5.897317,5.897317,5.781683,5.868409,1.231922,652900
1980-09-19,5.868409,5.911771,5.853955,5.882863,1.234955,238600
1980-09-22,5.882863,5.984043,5.882863,5.984043,1.256195,159100
1980-09-23,5.984043,6.128585,5.984043,6.012951,1.262265,530900
1980-09-24,6.012951,6.070768,5.940680,6.012951,1.262265,493800
1980-09-25,6.012951,6.041860,5.955134,5.955134,1.250127,337200
1980-09-26,5.926226,5.926226,5.723867,5.723867,1.201578,233400
1980-09-29,5.666050,5.666050,5.535962,5.651596,1.186407,156500
1980-09-30,5.651596,5.709413,5.622687,5.680504,1.192476,75200
1980-10-01,5.680504,5.796138,5.680504,5.796138,1.216751,317300
1980-10-02,5.940680,6.186401,5.940680,6.186401,1.298676,212700
1980-10-03,6.186401,6.186401,6.143039,6.171947,1.295642,181600
1980-10-06,6.186401,6.273127,6.186401,6.244218,1.310814,364900
1980-10-07,6.244218,6.244218,6.157493,6.171947,1.295642,633800
1980-10-08,6.171947,6.171947,6.099676,6.128585,1.286539,437500
1980-10-09,6.128585,6.157493,6.012951,6.041860,1.268333,159100
1980-10-10,6.041860,6.128585,5.911771,5.911771,1.241024,232600
1980-10-13,5.926226,5.955134,5.926226,5.955134,1.250127,41500
1980-10-14,5.955134,6.041860,5.955134,6.041860,1.268333,209200
1980-10-15,6.070768,6.128585,6.070768,6.128585,1.286539,995300
1980-10-16,6.128585,6.171947,5.897317,5.926226,1.244059,162500
1980-10-17,5.897317,5.897317,5.839500,5.897317,1.237990,337200
1980-10-20,5.868409,5.868409,5.723867,5.781683,1.213716,250700
1980-10-21,5.825046,5.897317,5.825046,5.882863,1.234955,904500
1980-10-22,5.882863,5.940680,5.853955,5.911771,1.241024,216200
1980-10-23,5.911771,5.969588,5.882863,5.969588,1.253161,135700
1980-10-24,5.969588,5.969588,5.853955,5.882863,1.234955,176400
1980-10-27,5.882863,5.911771,5.853955,5.897317,1.237990,351100
1980-10-28,5.897317,6.012951,5.897317,5.969588,1.253161,179800
1980-10-29,6.041860,6.114130,6.041860,6.085222,1.277436,252500
1980-10-30,6.085222,6.114130,5.926226,5.926226,1.244059,247300
1980-10-31,5.897317,5.897317,5.694958,5.723867,1.201578,1314400
1980-11-03,5.723867,5.723867,5.637142,5.651596,1.186407,506700
1980-11-05,5.796138,5.897317,5.796138,5.810592,1.219784,1268600
1980-11-06,5.810592,5.810592,5.666050,5.694958,1.195510,1010900
1980-11-07,5.608233,5.608233,5.521508,5.535962,1.162133,266300
1980-11-10,5.535962,5.593779,5.521508,5.564870,1.168202,343300
1980-11-11,5.564870,5.694958,5.564870,5.666050,1.189441,443600
1980-11-12,5.666050,5.738321,5.666050,5.738321,1.204614,241200
1980-11-13,5.752775,5.955134,5.752775,5.955134,1.250127,1040300
1980-11-14,5.955134,6.041860,5.926226,6.027405,1.265298,1186500
1980-11-17,6.027405,6.070768,5.998497,6.070768,1.274402,147000
1980-11-18,6.070768,6.157493,6.041860,6.041860,1.268333,524900
1980-11-19,6.041860,6.056314,5.839500,5.911771,1.241024,1234000
1980-11-20,5.897317,5.897317,5.738321,5.738321,1.204614,304400
1980-11-21,5.738321,5.781683,5.694958,5.723867,1.201578,241200
1980-11-24,5.723867,5.723867,5.608233,5.637142,1.183373,163400
1980-11-25,5.637142,5.637142,5.550416,5.564870,1.168202,253300
1980-11-26,5.564870,5.622687,5.550416,5.579325,1.171235,648600
1980-11-28,5.579325,5.608233,5.521508,5.593779,1.174270,255900
1980-12-01,5.593779,5.593779,5.478145,5.507054,1.156065,370900
1980-12-02,5.478145,5.478145,5.362512,5.434783,1.140892,179000
1980-12-03,5.434783,5.434783,5.405874,5.405874,1.134825,131400
1980-12-04,5.391420,5.391420,5.319149,5.333603,1.119653,344100
1980-12-05,5.304695,5.304695,5.217969,5.261332,1.104481,345000
1980-12-08,5.261332,5.261332,5.001156,5.058973,1.062001,471300
1980-12-09,5.058973,5.232424,5.015611,5.232424,1.098413,708200
1980-12-10,5.232424,5.261332,4.986702,4.986702,1.046829,563800
1980-12-11,4.972248,4.972248,4.827706,4.928885,1.034693,554300
1980-12-12,4.957794,5.116790,4.957794,5.116790,1.074139,136600
1980-12-15,5.116790,5.189061,5.015611,5.015611,1.052899,392600
1980-12-16,5.001156,5.001156,4.856614,4.943339,1.037727,290500
1980-12-17,4.943339,5.087882,4.856614,4.856614,1.019521,972000
1980-12-18,4.856614,4.885523,4.740981,4.769889,1.001316,1375000
1980-12-19,4.769889,4.798798,4.668710,4.798798,1.007384,293100
1980-12-22,4.798798,4.842160,4.712072,4.740981,0.995247,639000
1980-12-23,4.740981,4.827706,4.740981,4.813251,1.010418,967700
1980-12-24,4.813251,4.827706,4.798798,4.798798,1.007384,119300
1980-12-26,4.798798,4.885523,4.798798,4.885523,1.025591,143500
1980-12-29,4.885523,4.943339,4.827706,4.856614,1.019521,137500
1980-12-30,4.856614,4.856614,4.798798,4.798798,1.007384,325100
1980-12-31,4.798798,4.813251,4.740981,4.784343,1.004350,181600
1981-01-02,4.784343,4.827706,4.755435,4.827706,1.013453,365800
1981-01-05,4.827706,4.842160,4.784343,4.827706,1.013453,889800
1981-01-06,4.827706,4.856614,4.798798,4.827706,1.013453,1207200
1981-01-07,4.755435,4.755435,4.639801,4.683164,0.983110,1512500
1981-01-08,4.683164,4.726526,4.596438,4.625347,0.970973,799000
1981-01-09,4.625347,4.625347,4.422988,4.567530,0.958835,818900
1981-01-12,4.567530,4.639801,4.567530,4.581984,0.961869,465200
1981-01-13,4.581984,4.596438,4.553076,4.581984,0.961869,511900
1981-01-14,4.610893,4.740981,4.610893,4.740981,0.995247,2341800
1981-01-15,4.769889,4.914431,4.769889,4.899977,1.028624,457400
1981-01-16,4.899977,5.001156,4.871068,4.943339,1.037727,369200
1981-01-19,4.943339,5.015611,4.899977,5.015611,1.052899,224800
1981-01-20,5.015611,5.015611,4.943339,4.943339,1.037727,241200
1981-01-21,4.943339,4.972248,4.899977,4.972248,1.043796,621700
1981-01-22,4.972248,5.030065,4.972248,5.015611,1.052899,238600
1981-01-23,5.015611,5.015611,4.972248,4.986702,1.046829,69100
1981-01-26,4.986702,5.203515,4.986702,5.203515,1.092344,264600
1981-01-27,5.203515,5.217969,5.131244,5.174607,1.086275,1075800
1981-01-28,5.174607,5.189061,5.073427,5.087882,1.068070,317300
1981-01-29,5.087882,5.116790,5.058973,5.058973,1.062001,215300
1981-01-30,5.058973,5.087882,5.030065,5.087882,1.068070,157300
1981-02-02,5.073427,5.073427,4.928885,4.957794,1.040761,669300
1981-02-03,4.957794,5.001156,4.943339,5.001156,1.049865,345900
1981-02-04,5.001156,5.073427,5.001156,5.073427,1.065036,425400
1981-02-05,5.073427,5.131244,5.058973,5.073427,1.065036,460900
1981-02-06,5.073427,5.073427,5.030065,5.058973,1.062001,265400
1981-02-09,5.058973,5.102336,5.058973,5.073427,1.065036,734200
1981-02-10,5.073427,5.116790,5.073427,5.073427,1.065036,205800
1981-02-11,5.073427,5.073427,5.030065,5.030065,1.055932,102000
1981-02-12,5.030065,5.044519,4.928885,4.928885,1.034693,179000
1981-02-13,4.928885,4.957794,4.871068,4.914431,1.031659,256800
1981-02-17,4.914431,4.928885,4.899977,4.914431,1.031659,139200
1981-02-18,4.914431,4.957794,4.899977,4.957794,1.040761,95900
1981-02-19,4.943339,4.943339,4.885523,4.914431,1.031659,211800
1981-02-20,4.914431,4.914431,4.856614,4.856614,1.019521,866500
1981-02-23,4.856614,4.856614,4.798798,4.798798,1.007384,125300
1981-02-24,4.813251,4.856614,4.813251,4.856614,1.019521,181600
1981-02-25,4.856614,4.856614,4.784343,4.813251,1.010418,120200
1981-02-26,4.813251,4.928885,4.784343,4.928885,1.034693,258500
1981-02-27,4.943339,4.986702,4.943339,4.943339,1.037727,428000
1981-03-02,4.957794,5.116790,4.957794,5.116790,1.074139,942600
1981-03-03,5.116790,5.116790,5.058973,5.058973,1.062001,116700
1981-03-04,5.044519,5.044519,4.957794,5.001156,1.049865,85600
1981-03-05,5.001156,5.001156,4.914431,4.914431,1.031659,367500
